Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population_revised,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,Noquals,NEET,HESA,drive_petrol,drive_GP,drive_PO,drive_primary,drive_retail,drive_secondary,PT_GP,PT_Post,PT_retail,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
S01008417,Balerno and Bonnington Village,City of Edinburgh,726,424,0.05,35,0.03,15,35,18,0,73,0.13,0.06,57,0.92,6.3,28,0,0.19,3.4,7,4,4.4,4.4,4.4,18.4,11.6,12,12,165,17,8,0.02,0.01
S01008418,Balerno and Bonnington Village,City of Edinburgh,710,397,0.01,10,0.02,10,35,92,0,55,0.14,0,70,0.95,5.8,24,0.04,0.15,3.8,7.1,2.8,3,3.3,5.1,16.8,9.2,9.5,10,141,7,10,0.01,0.01
S01008419,Balerno and Bonnington Village,City of Edinburgh,526,326,0.04,25,0.05,15,55,86,0,63,0.1,0,92,0.96,5.5,34,0.07,0.27,2.7,5.9,1.6,2.4,2,3.2,16.1,7.2,7.5,9,171,30,0,0.06,0
S01008420,Balerno and Bonnington Village,City of Edinburgh,488,287,0.04,20,0.03,5,35,0,0,67,0.14,0.06,79,0.94,5.8,30,0.02,0.15,2.5,5.9,1.6,1.4,2,3.4,13.7,4.7,5,4,82,2,0,0,0
S01008421,Balerno and Bonnington Village,City of Edinburgh,885,543,0.12,110,0.09,45,95,110,63,109,0.19,0.02,101,0.89,5.2,88,0.06,0.09,1.4,5.4,1.9,1.9,2.3,2.8,14.7,7,7.2,12,136,61,6,0.07,0.01
S01008422,Balerno and Bonnington Village,City of Edinburgh,622,346,0.01,10,0.02,5,25,15,0,54,0.13,0,71,0.99,6.3,11,0.02,0.19,2.1,5.7,2.7,4.4,3.1,3.1,12.8,7.4,7.8,9,145,17,4,0.03,0.01
S01008423,Balerno and Bonnington Village,City of Edinburgh,1070,650,0.02,20,0.02,15,30,52,132,63,0.12,0,67,0.95,5.8,31,0.03,0.23,3.5,4.9,3.2,4.6,4.1,3.6,14.8,7.9,11,18,168,27,3,0.03,0
S01008424,Balerno and Bonnington Village,City of Edinburgh,818,421,0.01,10,0.03,15,30,16,0,66,0.12,0,49,0.9,6.4,26,0.05,0.23,3.4,3.6,3.3,3.8,3.9,3.5,11.1,8.5,10.8,6,73,9,3,0.01,0
S01008425,Currie West,City of Edinburgh,3302,2917,0.01,35,0.01,20,20,21,0,81,0.06,0,43,0.94,6.1,39,0,0.09,4.1,3.1,4.2,2.7,4.6,3.7,9.4,11.7,18,19,58,31,8,0.03,0.01
S01008426,Currie West,City of Edinburgh,564,311,0.09,50,0.13,40,100,136,61,85,0.23,0,117,0.88,5.4,105,0.03,0.06,3.3,1.6,2.2,1.5,5.5,3.2,5.7,6.8,13.5,9,160,43,6,0.08,0.01
